id,eng__001,eng__002,eng__003,eng__004,afr__001,afr__002,zul__001,zul__002,zul__003,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,tsn__004,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,sot__001,sot__002,sot__003,sot__004,sot__005,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002
dsac_multi_soc_00213,qualifying matches or games,,,,uitdunwedstryde,,imidlalo yokuhlunga,,,imidlalo yamangenelo,imidlalo yokungenela,imidlalo yokuhluza,,imidlalo yekwemukeleka,imidlalo yekulungela,,,imidlalo yokulungela,,,,metshamekotshutlhelelo,,,,dipapadi tša matsentšhagae,dipapadi tša tumelelo,dithaloko tša matsentšhagae,dithaloko tša tumelelo,mebetšhe ya matsentšhagae,mebetšhe ya tumelelo,dipapadi tsa ho phunyeletsa,dipapadi tsa ho fetela mokgahlelong o latelang,,,,mitambo ya u swikela,mitambo ya tswikelo,,,mitlangu yo humesana,
dsac_multi_soc_00214,rebound n. {ball},,,,terugspring {bal},,ibhola elishaya ipali libuyele enkundleni,,,ukubetheka kwebhola ibuye,,,,libuya {ibhola},,,,ibuya {ibholo},ibethabuya,,,mmoelela {kgwele},,,,kgwele ya go betha kota ya boela ka gare,kgwele ya go betha pala ya boela ka gare,,,,,bolo e kgutliswang ke mekwallo,,,,,khumela {bola},,,,ku ba pala yi vuya,
dsac_multi_soc_00215,red card,,,,rooikaart,,ikhadi elibomvu,,,ikhadi elibomvu,,,,likhadi lelibovu,,,,ikarada elibomvu,,,,karatakhibidu,,,,karata ye khwibidu,karata ye khubedu,,,,,karete e kgubedu,,,,,garaṱa tswuku,,,,karata ro tshwuka,
dsac_multi_soc_00216,referee,,,,skeidsregter,,unompempe,unondweba,,usompempe,,,,somfengwane,sompempe,,,usofengwana,usopembe,,,motsereganyi,molaolamotshameko,moletsaphala,,malokwane,,,,,,moletsaphala,molaolapapadi,moteaphala,,,malogwane,mulangamutambo,,,n'watipempe,
dsac_multi_soc_00217,referee's whistle n.,,,,fluitjie,,impempe,indweba,imfengwane,impempe kasompempe,,,,imfengwane,impempe,,,ifengwana kasofengwana,ipembe kasopembe,,,phala,nakana,,,nakana,sempsherere,,,,,phala,,,,,ndwevha ya malogwane,ndwevha ya mulangamutambo,tshiṱiriri tsha malogwane,tshiṱiriri tsha mulangamutambo,xitswiriri,
dsac_multi_soc_00218,relegate,,,,relegeer,afskuif,-yehlisa,,,ukuhlisela,,,,ehlisela,dliwa lizembe,,,-ehlisa,,,,diga,rema,folosa,,bušetšwa fase,bušetšwa tlase,theošwa,fološwa,,,theolela boemong bo tlase,,,,,u tsitsela fhasi,,,,ehlisa,
dsac_multi_soc_00219,relegation,,,,relegasie,afskuiwing,ukudliwa yizembe,ukuya ehlathini,,ukuhlisela,,,,kudliwa lizembe,kwehlisa,,,ukwehlisa,,,,pholosetsotlase,pholosomaemo {ga setlhopha},tigomaemo,,go fološwa,,,,,,ho theolela boemong bo tlase,,,,,u tsitswa,,,,enhliso,
dsac_multi_soc_00220,relegation zone,,,,relegasiesone,afskuifsone,ukuba semsileni weligi,,,umngcipheko wokuhliselwa,,,,kuba sezembeni,kuba semsileni,,,ezembeni,ubujamo bokukhithika,,,karolotigomaemo,,,,maemo a tlase lliking,,,,,,mohatleng,tjhobeng,,,,vhuimo ha u tsitswa,,,,xiyimo xa enhliso,
dsac_multi_soc_00221,reserve n.,,,,plaasvervanger,reserwe,umcuphingozi,irizevu,umdlali osebhentshini,ilalela,,,,lolindzile,,,,umgadisimetjhe,umjamiseleli,irizevu,,motshameki yo o kwa bankeng,motlatsabatshameki,moemedi,,moakotši,moakgodi,,,,,risefe,sebapadi se kenelang se seng,,,,muanguli,,,,muwisisi,
dsac_multi_soc_00222,retaliate,,,,weerwraak neem,,ukuphindisela,,,ukubuyisa isixhiba,ukuziphindezela,,,phindzisela,,,,-zibuyiselele,,,,ipusolosetsa,,,,ipušeletša,itefeletša,,,,,iphetetsa,,,,,lifhedza,,,,rihisela,
dsac_multi_soc_00223,reverse a decision,,,,'n beslissing omkeer,,ukuguqula isinqumo,,,ukurhoxisa isigqibo,,,,gucula sincumo,,,,-hlehlisa isiqunto,,,,go fetola tshwetso,,,,fetola sephetho,gomiša sephetho,,,,,ho fetola qeto,,,,,u shandukisa tsheo,,,,cinca xiboho,
dsac_multi_soc_00224,right-footed player,,,,regsvoetige speler,,umdlali osebenzisa unyawo lwesokudla,,,inene,umdlali okhaba ngonyawo lwasekunene,,,losebentisa lunyawo lwesekudla,,,,umdlali odlala ngenyawo lesidla,umdlali odlala ngenyawo lesigoma,,,moje,,,,moralokakammagoja,moralokakalagoja,,,,,lehoja,,,,,nyauḽa,,,,n`waxinene,
dsac_multi_soc_00225,roving player, free-role player,,,vryspelspeler,,umdlali okhululekile,,,umdlali odlala ibala lonke,,,,umjikeleti,umdlali lokhululekile,,,umdlali onganandawo,umdlalikoke,,,motshamekagotlhe,,,,mmapadi wa go itaola,moraloki wa go itaola,,,,,sebapadi se thalang,,,,,mutambahoṱhe,,,,mutlangaswiyimohinkwaswo,
dsac_multi_soc_00226,rules of the game,,,,spelreëls,reëls van die spel,imithetho yomdlalo,,,imigaqo yomdlalo,imithetho yomdlalo,,,imitsetfo yemdlalo,,,,imithetho yomdlalo,,,,melawana ya motshameko,,,,melao ya papadi,,,,,,melawana ya papadi,,,,,milayo ya mutambo,,,,milawu ya ntlangu,
dsac_multi_soc_00227,runner-up,,,,naaswenner,,iqembu eliphume isibili,,,iqela elikwindawo yesibini,,,,lophume sibili,,,,ukuphuma isibili,,,,molatlhegelwa {wa makgaolakgang},,,,sehlopha sa maemo a bobedi,,,,,,sehlopha se bobeding,,,,,mukundwa kha makhaulatshele,mukundwa kha makhaulakhani,,,xipanu xa xiyimo xa vumbirhi,
dsac_multi_soc_00228,SAFA,South African Football Association,,,Suid-afre Sokkervereniging,SA Voetbalvereniging,i-SAFA,iNhlangano Eyengamele Ezikanobhutshuzwayo ENingizimu Afrika,,iSAFA,uMbutho woMzantsi Afrika weBhola eKhatywayo,,,i-SAFA,,,,i-SAFA,iHlangano eNgamele iBholo eRarhwako eSewula Afrika,,,SAFA,Mokgatlho wa Kgwele ya Dinao wa Aforikaborwa,MOKGWEDIA,,SAFA,Mokgatlo wa Kgwele ya Maoto wa Afrika Borwa,,,,,SAFA,Mokgatlo wa Bolo wa Aforika Borwa,,,,SAFA,Dzangano ḽa Bola ya Milenzhe ḽa Afrika Tshipembe,,,SAFA,Nhangano wa Bolo wa Afrika Dzonga
dsac_multi_soc_00229,SAFPU,South African Football Players Union,,,Suid-afre Sokkerspelersvereniging,SA Voetbalspelersvereniging,i-SAFPU,iNyunyana Yabadlali Bakanobhutshuzwayo ENingizimu Afrika,,iSAFPU,UManyano loMzantsi Afrika lwabaDlali beBhola eKhatywayo,,,i-SAFPU,,,,i-SAFPU,iNyonyana yabadlali beBholo eRarhwako eSewula Afrika,,,SAFPU,Mokgatlho wa BatshamekaKgwele ba Porofešhenale ba Aforikaborwa,MBPA,,SAFPU,Mokgatlokopano wa Baraloki ba Kgwele ya Maoto wa Afrika Borwa,,,,,SAFPU,Mokgatlo wa Dibapadi tsa Bolo wa Aforika Borwa,,,,SAFPU,Mbumbano ya Vhatambi vha Bola ya Milenzhe ya Afrika Tshipembe,,,SAFPU,Nhlangano wa Vatlangi va Bolo wa Afrika Dzonga
dsac_multi_soc_00230,save n.,,,,goeie keerslag,,ukuvimba,,,ukuhlangula,,,,vimba,,,,ukuvimba,ukukhandela,ukuhlenga,,sireletsa,,,,go thiba,go swara,,,,,thiba,,,,,thivha,,,,ku siva,
dsac_multi_soc_00231,score n.,,,,telling,,amagoli,inani lamagoli,,isiphumo somdlalo,isikora,,,umphumela,,,,amaphuzu,inani lamagondelo,isikoro,,ntlha,nno,,,nno,ntlha,,,,,dintlha,,,,,mvelelo,tshikoro,,,xikoro,
dsac_multi_soc_00232,score v.,,,,doel aanteken,,-faka igoli,-shaya igoli,-kora,ukufaka inqaku,ukukora,,,-golisa,-faka ekhatsi,-kora,,-kora,-betha igondelo,,,go nosa,go kora,go tlhaba ntlha,,nweša,noša,kora,,,,hlaba ntlha,kora,,,,kora,nwisa,,,howisa,
dsac_multi_soc_00233,season,,,,seisoen,,isizini,,,ixesha lonyaka lezemidlalo,,,,sikhatsi semidlalo,isizini,,,isikhathi semidlalo,isizini,,,setlha,,,,sehla,,,,,,sehla,,,,,khalaṅwaha,,,,nguva,
dsac_multi_soc_00234,second division,,,,tweede liga,,isigaba sesibili,,,inqanaba lesibini,,,,sigaba sesibili Seligi,,,,iligi yesibili,,,,llikipotlana,,,,lliki ya bobedi,,,,,,divishene ya bobedi,,,,,khethekanyo ya vhuvhili,,,,ligi ya vumbirhi,
dsac_multi_soc_00235,second half {match},,,,tweede helfte {wedstryd},,isiwombe sesibili,,,isigaba sesibini somdlalo,,,,incenye yesibili {umdlalo},,,,isiquntu sesibili somdlalo,,,,seripa sa bobedi,karolo ya bobedi,,,karolo ya bobedi {papadi},,,,,,karolo ya bobedi,,,,,luṱa lwa vhuvhili {mutambo},,,,xiphemu xa vumbirhi,
dsac_multi_soc_00236,second leg,,,,tweede been,,umlenze wesibili,,,umjikelo wesibini,,,,umlente wesibili,,,,umlenze wesibili,,,,leoto la bobedi,,,,leoto la bobedi la phadišano,legato la bobedi la phadišano,,,,,mokgahlelo wa bobedi,,,,,mulenzhe wa vhuvhili,,,,nenge wa vumbirhi,
dsac_multi_soc_00237,semi-final,,,,halfeindrondte,semifinaal,umdlalo owandulela owamanqamu,,,umdlalo owandulela owamanqam,umdlalo owandulela owamagqibela kankqoyi,,,lowendvulela emancamu,,,,umdlalo wangaphambi kowokuphela,umdlalo wangaphambi kowokugcina,,,sekamakgaolakgang,,,,sekamakgaolakgang,,,,,,sekamakgaolakgang,,,,,thangelamakhaulatshele,thangelamakhaulakhani,,,ntlangu wo hundzela eka wo hetelela,
dsac_multi_soc_00238,shielding,,,,wegkering,,ukuvikela ibhola,,,ukukhusela,,,,kuvikela,,,,ukuvikela,,,,go sireletsa,,,,go šireletša,,,,,,ho sireletsa,,,,,u tsireledza,,,,ku sirhelela,
dsac_multi_soc_00239,shin guard,shin pad,,,skeenskut,skeenskerm,isivikelambala,,,isikhuseli-mbande,,,,sivikelambala,,,,isivikelimbala,,,,sesireletsamoômo,,,,sešireletšanomo,sešireletšamoomo,sešireletšanotlo,,,,sesireletsammomo,,,,,tshitsireledzaṅwonḓo,,,,xisirhelelarihandzu,xisirhelelanhlampfana
dsac_multi_soc_00240,short-handed,,,,onderbeman {onderbemande span},,ukudlala ngabadlali abangaphelele,,,ukusilela ngabadlali,,,,kusilela ngebadlali,,,,-tlhayelelwako,,,,tlhaelobatshameki,,,,go raloka ka babapadi ba go hlaelela,go raloka ka baraloki ba go se lekane,,,,,kgaello ya dibapadi,,,,,u tamba ni songo lingana,,,,ku tlanga hi vatlangi lava kayivelaka,
dsac_multi_soc_00241,shot,,,,skoot,,unyazi,imbumbulu,ishodi,imbumbulu,ilahle,,,intsambo,umbani,ishodi,imbumbulu,itjhodo,,,,thago,,,,thagelodinong,,,,,,letolo,,,,,mushosho,,,,njamba,
dsac_multi_soc_00242,sideline, touch line,,,kantlyn,,umugqa osekupheleni kwenkundla,,,umda webala emacaleni,,,,umugca loseceleni kwenkhundla,,,,umuda wangeqadi,,,,molathoko,,,,mothalo wa lepatlelo wa ka thoko,mollwane wa ka thoko,,,,,moedi wa lebala,,,,,mutalo wa nga matungo,,,,ntilwa wa le tlhelo ka rivala,
dsac_multi_soc_00243,signal n.,,,,teken,,ukukhuluma buthule,ukukhuluma ngezimpawu,,umqondiso,,,,luphawu,isayini,,,isitjengisi,,,,tshupetso,,,,tšhupetšo,taetšo,,,,,ho bontsha,sesupo,pontsho,,,ngafhadzo,,,,xikoweto,
dsac_multi_soc_00244,signing-on fee,,,,aankoopbedrag,aankoopgeld,imali yokusayinisa umdlali,,,isabelo somdlali othengiweyo,,,,imali yekusayina,intsengo yemdlali,,,imali yokutlikitla komdlali,,,,tuelokwadiso {motshameki},,,,tšhelete ya boingwadišo,,,,,,tefo ya ho saena,,,,,tshelede ya u saina mutambi,,,,hakelo ya mutlangi loko a joyina xipanu,
dsac_multi_soc_00245,simulation,,,,voorgeëry,,ukuzenzisa,,,ukuzenzisa,ukumfamekisa,,,kutentisa,,,,ukuzenzisa,,,,iketsiso,tsietso,,,boitirišo,boomo,makatika,,,,boiketsiso,,,,,u ḓiita o huvhalaho,,,,ku tiendlisa,
dsac_multi_soc_00246,sliding tackle,,,,skuifneerbring,,ukumaka ngokushishiliza,,,ukuhlutha ibhola ngokutshebeleza,ukuslayida,,,kumakha ngekuhula,kumakha ngekushishilita,,,umtjhitjhirizo,,,,kgwetlhokgwele ka theletsane,,,,go thiba ka go gagabiša leoto,,,,,,tshireletso ka ho phetjha,ho kga sebapadi,,,,u dzhena nga u swendela,,,,ku raha hi ku etlelela,
dsac_multi_soc_00247,soccer academy,,,,sokkerakademie,,isikole sikanobhutshuzwayo,,,iziko lokufundisa ibhola ekhatywayo,iziko lokufundisa isoka,,,sikolo sebhola,,,,isikolo sebholo,,,,sekolo sa kgwele ya dinao,,,,sekolo sa go ikgetha sa kgwele ya maoto,,,,,,akhademi ya bolo,,,,,tshikolo tsha bola,,,,xikolo xa bolo,
dsac_multi_soc_00248,soccer analyst,,,,sokkerontleder,,umhlaziyi kanobhutshuzwayo,,,umhlalutyi womdlalo webhola ekhatywayo,umhlalutyi womdlalo wesoka,umphononongi webhola ekhatywayo,umphononongi wesoka,umhlatiyi webhola,,,,umhlaziyi webholo,umcozululi webholo,,,mosekasekamotshameko,,,,mosekaseki wa kgwele ya maoto,,,,,,momanolli wa bolo,mohlopholli wa bolo,,,,musaukanyi wa bola,,,,muxopelatlangu,
dsac_multi_soc_00249,soccer boot,,,,sokkerstewel,,ikhokho,,,ikoksi,isihlangu sebhola,,,likhokho,,,,inyathelo lebholo,ikhoksi,,,khokho,,,,seeta sa kgwele ya maoto,khokho,,,,,seeta sa bolo,,,,,khokho,,,,khokho,
dsac_multi_soc_00250,soccer kit,,,,sokkeruitrusting,,umjezi,izimpahla zikanobhutshuzwayo,,ikiti yebhola ekhatywayo,ikiti yesoka,impahla yokudlala ibhola ekhatywayo,impahla yokudlala isoka,ikhithi,tembatfo tebhola,,,izambatho zebholo,ipahla yebholo,,,kêre,seaparo sa kgwele ya dinao,,,diaparo tša kgwele ya maoto,kere,,,,,seaparo sa bolo,,,,,gere ya bola,,,,gere,
dsac_multi_soc_00251,soccer tournament,tournament,,,sokkertoernooi,,umqhudelwano kanobhutshuzwayo,,,itumente yebhola ekhatywayo,itumente yesoka,,,umchudzelwano webhola,,,,iphaliswano lebholo,,,,kgaisano ya kgwele ya dinao,,,,phadišano ya kgwele ya maoto,thonamente ya kgwele ya maoto,,,,,tlhodisano ya bolo,,,,,muṱaṱisano wa bola,thonamennde ya bola,,,mphikizano wa ntlangu wa bolo,
dsac_multi_soc_00252,spectacular,,,,skouspelagtige wedstryd,,ingcwenga yebhola,,,isenzo esinomtsalane emdlalweni,isenzo esinika umdla emdlalweni,izinto ezibukwayo,isenzo esibukekayo,umdlalo lonelisasasa,umdlalo lonelidvumela,,,ukudlala okubukwako,,,,matsetseleko,,,,tiragatšo ye botse,tiragatšo ya go kgahliša,,,,,kgabane,,,,,mutambo wa maimo,mutambo wa nṱhesa,,,ntlangu wo koka mahlo,
dsac_multi_soc_00253,spectator,,,,toeskouer,,isibukeli,,,umbukeli,,,,sibukeli,,,,isibukeli,,,,mmogedi,,,,mmogedi,,,,,,mmohi,molebelli,moshebelli,,,muṱaleli,,,,muhlaleri,
dsac_multi_soc_00254,squad,,,,oefengroep,,isikwadi,,,isikwati,isikwadi,iqela,,sikwadi,,,,isikwata,,,,setlhopha,,,,sehlopha,,,,,,sehlopha,sekwate,,,,tshikwadi,,,,xipanu,
dsac_multi_soc_00255,square pass,,,,hoekaangee,,ibhola elivundlayo,iphasi evundlayo,,ukuxwesisa ibhola,ukuskwerisha,,,kugoba ibhola,,,,ukuskwerela,ukurarhela okusikwere,,,thomelokgabaganyo,,,,thagoputla,,,,,,sekwere,mokoropetso,,,,u govha,,,,mpetsoxinjovo,
dsac_multi_soc_00256,stationary ball,,,,stil bal,lêbal,ibhola elimile,,,ibhola emileyo,,,,ibhola lenganyakati,ibhola lemile,,,ibholo ejamileko,,,,kgwele e e emeng,,,,kgwele ya go se šute,kgwele ya go ema,,,,,bolo e emeng,,,,,bola yo imaho,,,,bolo leyi yimeke,
dsac_multi_soc_00257,stoppage time,referee's optional time,injury time,additional time,ekstra tyd,,isikhathi sikanompempe,isikhathi sikanondweba,isikhathi esengeziwe,ixesha likasompempe,ixesha leziphazamiso,,,sikhatsi lesengetiwe sasomfengwane,sikhatsi lesengetwako,,,isikhathi esingezelelweko,isikhathi sokujama,isikhathi sokulimala,,nako ya moletsaphala,nako ya molaolamotshameko,nako ya motsereganyi,,nakokokeletšo,nakotlaleletšo,,,,,nako ya moteaphala,nako ya moletsaphala,nako ya molaolapapadi,,,tshifhinga tsho tambiseaho,,,,nkarhi wa n`watipempe,
dsac_multi_soc_00258,stud,,,,soolknoppie,,isitadi sekhokho,,,iqhuqhunya lekoksi,iqhuqhunya lesihlangu sebhola,,,sitadi,,,,ingono yekhoksi,isitadi,,,setsetnso,leino,letselana,,letswele la khokho,leino la khokho,,,,,leino la khokho,,,,,ḽiṋo ḽa khokho,,,,mutwa,
dsac_multi_soc_00259,studs showing,,,,soolknoppies wat wys,,ukuveza amastadi,,,ukumaka ngokuyingozi uveze amaqhuqhunya eekoksi,ukuveza amaqhuqhunya ezihlangu zebhola ngokuyingozi,,,kuveta emastadi,kuveta emanyeva,,,ukuveza iingono zekhoksi,ukuveza amasitadi,,,pontshoditsetnso,pontshomeno,pontshomatselana,,taetšo ya meno a khokho,pontšho ya matswele a khokho,,,,,ho bontsha meno a dikhokho,,,,,u imisa maṋo a khokho,,,,ku kombisa ehansi ka tikhokho,
dsac_multi_soc_00260,substitute,,,,plaasvervanger,,umdlali ofakiwe,,,ilalela,,,,lovala lophumako,lotsatsa indzawo,,,umjamiseleli,,,,moemedi,moemela,mothibaphatlha,,moakotši,moakgodi,,,,,mothibasekgeo,,,,,muanguli,mudzheneli,,,muwisisi,
dsac_multi_soc_00261,substitutes' bench,reserves' bench,bench,,plaasvervangersbank,reserwebank,ibhentshi,,,isitulo samalalela,ibhentshi,,,libhentji,indzawo yalabalindzile,,,ibhanga labagadisimetjhe,ibhanga labajamiseleli,ibhanga lamarizevu,,banka ya baemedi,banka ya baemela,banka ya bathibaphatlha,banka ya baemisetsi,panka ya baakotši,panka ya baakgodi,,,,,bentjhe ya bathibadikgeo,banka ya bathibadikgeo,,,,bannga ya vhaanguli,bannga ya vhadzheneli,,,bence ya vawisisi,
dsac_multi_soc_00262,substitution,,,,vervanging,,ukushintsha umdlali,,,ukufaka umdlali endaweni yomnye,ukutshintsha umdlali ngomnye,,,kuntjintja umdlali,kufaka umdlali,,,ijamiselelo,,,,phetolelothefoso,,,,boakotši,boakgotši,,,,,ho thiba sekgeo,ho kwala sekgeo,,,,u angula,u dzhenisa muṅwe mutambi,,,ku wisisa,
dsac_multi_soc_00263,sudden death,,,,uitklop,,uwafawafa,,,isigaba sokugqibela kwiipenalthi,,,,litfuba lekugcina lemaphenalthi,wafa wafa,,,Isiphetho tsi,iphenalthi kawafawafa,,,thagotshwetso,,,,phenale ya sephetho,,,,,,ho kgaola kgang,,,,,thaho ya makhaulatshele,thaho ya makhaulakhani,,,phenalithi yo herisa ntlangu,
dsac_multi_soc_00264,sweeper,,,,veër,,umdlali okhwezela emuva,umdlali olawula emuva,isitobha,uval'amazibuko,uvingc'amazibuko,iswipha,,sitobha,,,,isitopa,iswipha,,,motshamekamorago,,,,mmapalamoragogare,moralokamoragogare,,,,,mmapalamorao,,,,,mutambamurahu wa u fhedzisela,,,,mugogi,
dsac_multi_soc_00265,tackle,,,,aanvat,,-zama ukuthatha ibhola,,,ukuhlutha ibhola,ukuteklisha,,,-makha,,,,-linga ukuthatha ibholo,,,,go tlama,go gwetlha,,,baka,,,,,,maka,tlama,thiba,ho nkana lekgarakgara,sitisa,u lwela,,,,maka,
dsac_multi_soc_00266,target player,,,,teikenspeler,,umdlali ohlala eqashiwe,umdlali onobungozi,,umdlali oyintsika ekuhlaseleni,umdlali olixhadi ekuhlaseleni,,,umdlali loyingoti,,,,umdlali oqothelweko,,,,mototiwa,,,,motsepelelwa,,,,,,malalla,matsatsela,,,,mutambi wa khombo,,,,mutlangi la vekiweke tihlo,
dsac_multi_soc_00267,team colours,,,,spandrag,,imibala yeqembu,,,imibala yeqela,,,,imibala yelicembu,,,,imibala yesiqhema,,,,mebala ya setlhopha,,,,mebala ya sehlopha,,,,,,mebala ya sehlopha,,,,,mivhala ya thimu,,,,mihlovo ya xipanu,mivala ya xipanu
dsac_multi_soc_00268,team manager,,,,spanbestuurder,,imenenja yeqembu,,,umphathi weqela,umlahluzi weqela,,,umphatsi welicembu,sibondza,,,umphathi wesiqhema,,,,motsamaisasetlhopha,,,,molaodi wa sehlopha,,,,,,motsamaisi wa sehlopha,,,,,mulangathimu,,,,mininjhere wa xipanu,
dsac_multi_soc_00269,team official,,,,spanbeampte,,isikhulu seqembu,,,igosa leqela,,,,sikhulu selicembu,,,,isiphathiswa sesiqhema,,,,motlhankedi wa setlhopha,,,,mohlankedi wa sehlopha,,,,,,ofisiri ya sehlopha,,,,,muofisiri wa thimu,,,,xirho xa vufambisi bya xipanu,
dsac_multi_soc_00270,team sponsorship,,,,spanborgskap,,abaxhasi beqembu,,,inkxaso yeqela ngezintoyinto,,,,kwesekelwa kwelicembu,,,,umsekelisiqhema ngeemali,,,,ketleetso ya setlhopha,,,,bothekgi bja sehlopha ka matlotlo,,,,,,tshehetso ya sehlopha ka mehlodi,,,,,vhalambedzi vha thimu,,,,nseketelo wa xipanu,
dsac_multi_soc_00271,technical area,,,,tegniese gebied,tegniese area,indawo yebhentshi,,,indawo yamagosa ebhola,,,,libhentji lebalindzi netikhulu,,,,indawo yesiqhema,,,,karolo ya basetegeniki,,,,pankeng,,,,,,sebaka sa baeletsi ba sehlopha,,,,,vhupo ha tshigwada tsha thekhiniki,,,,vutshamo bya swirho swa xipanu,
dsac_multi_soc_00272,technical team,,,,tegniese span,,ithimba labaqeqeshi,,,iqela labaqeqeshi,,,,litsimba lebaceceshi,,,,isiqhema sababanduli,isiqhema sobuthekhnikhi,,,setlhopha sa botegeniki,,,,badiredi ba sehlopha lepatlelong,,,,,,baeletsi ba sehlopha,,,,,tshigwada tsha thekhiniki,,,,ntlawa wa xithekiniki,
dsac_multi_soc_00273,temporary suspension of play,,,,tydelike staking van spel,,ukumiswa komdlalo okwesikhashana,,,ukunqunyanyiswa komdlalo okwexeshana,ukunqunyanyiswa komdlalo okwethutyana,,,kumiswa kwemdlalo kwesikhashana,,,,ukujanyiswa komdlalo kwesikhatjhana,,,,tshekegonakwana ya motshameko,,,,kemišolebakanyana ya papadi,,,,,,kemiso ya papadi nakwana,,,,,u imisanyana mutambo,,,,ku yimisa ntlangu nkarhinyana,
dsac_multi_soc_00274,through pass,,,,deuraangee,,ukufaka ibhola esikhaleni,,,ukufaka ibhola esithubeni,emahashini,,,kulitjala,kufaka ibhola esikhaleni,,,idlulisohlangana,,,,tshutliso,,,,kgwele ya go ngaya bašireletšadino ka bogare,,,,,,ho thobisa,,,,,u phasa nga vhukati,,,,ku hundzisa bolo exikarhi ka vatlangandzhaku,
dsac_multi_soc_00275,throw in,,,,ingooi,,-phonsa ibhola,,,ukuphosa ibhola ebiphumele ngaphandle,ukuphosa ibhola ngaphakathi,,,-phosa,-jika,,,-phosela ibholo etatawini,-phosela ibholo ekundleni,,,latlhela,akgela,,,fošetša ka gare,lahlela ka gare,beletša ka gare,,,,akgela,,,,,u posa,,,,hoxa,
dsac_multi_soc_00276,time wasting tactic,,,,tydverspillingstaktiek,,ukuchitha isikhathi,,,iqhinga lokuhambisa ixesha,,,,lichinga lekucitsa sikhatsi,,,,iqhinga lokuriyadisa,,,,mathaithai a tionako,mathaithai a tshenyonako,,,makatika a go sepetša nako,manka a go sepetša nako,manka a go senya nako,,,,maqiti a ho senya nako,,,,,maitele a u tambisa tshifhinga,,,,endlelo ro dya nkarhi,
dsac_multi_soc_00277,top goal scorer award,,,,topdoelskietertoekenning,,umklomelo womshayimagoli ovelele,,,imbasa yoyena mdlali ufaka amanqaku amaninzi,,,,umklomelo wemshayimagoli,,,,unongorwana wokugondela,unongorwana wokukora khulu,,,kabo ya monosadinontsi,,,,sefoka sa monwešadino tše dintši,,,,,,kgau ya sebapadi se hlabileng dintlha tse ngata,,,,,tshiphuga tsha mukori wa zwikoro zwinzhi,,,,sagwadi ra muhowisinkulu wa ligi,
dsac_multi_soc_00278,toss,,,,loot,,ukukhetha amapali,ukuthosa,,itosi,ukutosa,iqashiso,,kuthosa,,,,ukuthosa,ukubamba ikatho,,,tikolosoledi,,,,matengwa,,,,,,lotho,,,,,madeṅwa,,,,thoso,
dsac_multi_soc_00279,training session,,,,oefensessie,,isikhathi sokuqeqesha,isikhathi sokulolonga,,ixesha lokuzilolonga,ixesha lokuziqeqesha,,,sikhatsi sekutilolonga,sikhatsi sekuticecesha,,,isikhathi sokubandulwa,,,,nakoikatiso,,,,nako ya boitšhidullo,paka ya boitšhidullo,,,,,nako ya boikwetliso,,,,,tshifhinga tsha nḓowenḓowe,,,,nkarhi wa vutiolori,
dsac_multi_soc_00280,trophy,,,,trofee,,indebe,,,indebe,,,,indzebe,inkhomishi,,,unongorwana,ithrofi,,,sekgele,sejana,,,mogopo,sebjana,,,,,mohope,,,,,khaphu,tshiphuga,,,khapu,
dsac_multi_soc_00281,two-touch passing,,,,dubbele aangee,,ukubamba ibhola ulidlulise,,,ukubamba ibhola uyidlulise,,,,kubamba ibhola uyendlulise,,,,idluliso elinguthintwakabili,,,,neeletsanosebedi,kgomaofetise,,,thago ya kgomaofetiše,,,,,,amohela o fetisa,,,,,u pfukisa bola wo i kwama luvhili,,,,ku nyiketana hi ku khumba kambirhi,
dsac_multi_soc_00282,underdogs,,,,niegunstelinge,,iqembu elidelelekile,,,iqela elidelelwayo,,,,licembu lelitsatselwa phansi,licembu lelinganiketwa tfuba,,,igebana,,,,banyatsegi,,,,banyatšegi,,,,,,sehlopha se sa lebellwang ho hlola,mepukunyane,,,,thimu i nyadziwaho kha mutambo,,,,xipanu xo languteriwa ehansi,
dsac_multi_soc_00283,unintentional handball,,,,onopsetlike handbal,,ukubamba ibhola ngephutha,,,ukubetheka kwebhola esandleni ngempazamo,,,,kulibamba ngeliphutsa,,,,ukuthintwa yibholo esandleni,,,,kgwelelebogong,,,,go kgoma kgwele ka letsogo e se ka maikemišetšo,,,,,,ho tshwara bolo ka phoso,,,,,u fara bola hu si nga khole,,,,ku khoma bolo hi xihoxo,
dsac_multi_soc_00284,unregistered player,,,,ongeregistreerde speler,,umdlali ongabhalisile,,,umdlali ongabhaliswanga,umdlali ongekho zincwadini,,,umdlali longakabhaliswa,,,,umdlali ongakatloliswa,,,,motshameki yo o sa kwadisiwang,,,,mmapadi wa go se ngwadišwe,moraloki wa go se ngwadišwe,,,,,sebapadi se sa ngodiswang,,,,,mutambi a songo ṅwaliswaho,,,,mutlangi wo ka a nga tsarisiwangi,
